bit_flipped,avalanche
36,0.53125
90,0.4375
5,0.4609375
77,0.4609375
39,0.5078125
125,0.5078125
53,0.421875
83,0.546875
31,0.53125
44,0.5
119,0.640625
15,0.5625
116,0.53125
32,0.5703125
83,0.546875
14,0.5546875
65,0.5703125
44,0.5
124,0.5234375
79,0.5234375
84,0.5390625
71,0.59375
6,0.46875
123,0.4375
7,0.4921875
101,0.5
43,0.5
40,0.484375
70,0.5703125
58,0.6015625
73,0.4609375
113,0.46875
104,0.546875
35,0.46875
103,0.5703125
4,0.4609375
61,0.5234375
16,0.3984375
77,0.515625
7,0.5078125
111,0.59375
89,0.46875
58,0.5390625
25,0.4296875
64,0.484375
99,0.53125
70,0.546875
44,0.4921875
67,0.515625
8,0.4765625
72,0.4765625
44,0.5234375
101,0.484375
51,0.46875
35,0.4453125
10,0.5078125
82,0.4921875
71,0.484375
72,0.5078125
4,0.3828125
85,0.46875
109,0.40625
37,0.53125
45,0.515625
114,0.4609375
57,0.53125
57,0.484375
55,0.59375
69,0.4375
89,0.5
31,0.484375
117,0.46875
92,0.4609375
65,0.453125
54,0.515625
74,0.53125
15,0.53125
13,0.5546875
31,0.515625
88,0.5
41,0.46875
103,0.578125
68,0.4453125
35,0.5234375
27,0.4765625
61,0.5234375
78,0.4921875
98,0.53125
100,0.515625
34,0.5546875
22,0.4921875
118,0.4375
123,0.5
93,0.546875
24,0.375
27,0.4765625
105,0.4453125
41,0.5078125
121,0.578125
103,0.5703125
124,0.53125
84,0.5546875
78,0.4765625
25,0.5625
45,0.515625
125,0.4921875
110,0.4609375
33,0.5078125
60,0.5234375
120,0.4140625
82,0.4296875
20,0.5078125
67,0.5390625
98,0.4609375
103,0.4609375
54,0.4375
11,0.4765625
51,0.5234375
2,0.484375
50,0.4375
38,0.421875
84,0.546875
115,0.5546875
45,0.453125
82,0.390625
39,0.46875
102,0.53125
102,0.4765625
10,0.4375
18,0.515625
51,0.484375
42,0.4921875
95,0.515625
2,0.4609375
51,0.578125
100,0.6015625
51,0.5390625
62,0.46875
86,0.5390625
64,0.515625
9,0.5546875
105,0.4453125
114,0.484375
119,0.5625
53,0.453125
100,0.53125
76,0.578125
43,0.546875
22,0.4921875
45,0.6171875
36,0.5078125
34,0.375
118,0.546875
29,0.46875
110,0.5078125
48,0.5546875
65,0.515625
58,0.5625
72,0.5078125
40,0.578125
61,0.515625
66,0.6015625
48,0.5234375
71,0.5
72,0.5234375
111,0.5078125
97,0.53125
51,0.5234375
105,0.4765625
76,0.515625
39,0.5859375
90,0.46875
12,0.484375
34,0.5078125
4,0.3984375
66,0.3515625
81,0.46875
16,0.421875
47,0.4375
11,0.515625
8,0.53125
61,0.4609375
26,0.515625
38,0.453125
8,0.46875
57,0.515625
105,0.46875
22,0.4140625
74,0.5
80,0.4921875
8,0.5234375
83,0.4609375
96,0.4765625
126,0.453125
90,0.53125
74,0.5078125
29,0.546875
33,0.390625
4,0.5234375
120,0.5390625
2,0.515625
35,0.5078125
77,0.46875
13,0.5234375
44,0.46875
2,0.4921875
2,0.53125
49,0.515625
9,0.5078125
35,0.46875
22,0.53125
77,0.390625
125,0.4296875
94,0.5390625
90,0.4453125
77,0.5078125
84,0.453125
121,0.5
124,0.453125
5,0.4296875
19,0.5078125
6,0.4765625
119,0.5234375
96,0.546875
75,0.5
41,0.5390625
80,0.5703125
44,0.578125
68,0.46875
108,0.5
120,0.46875
87,0.5
117,0.5390625
79,0.421875
22,0.484375
24,0.59375
33,0.484375
44,0.484375
9,0.5234375
73,0.546875
115,0.59375
15,0.53125
89,0.421875
116,0.5546875
115,0.515625
26,0.390625
57,0.515625
41,0.515625
126,0.4609375
87,0.4375
56,0.4609375
30,0.515625
104,0.6484375
28,0.484375
80,0.40625
13,0.4921875
30,0.453125
69,0.6015625
73,0.5703125
82,0.484375
111,0.5234375
113,0.5234375
66,0.5390625
42,0.46875
12,0.4453125
25,0.4921875
48,0.4921875
118,0.4921875
80,0.453125
35,0.5078125
44,0.4765625
71,0.5234375
10,0.578125
3,0.5390625
110,0.4765625
79,0.515625
96,0.5390625
7,0.6015625
120,0.515625
106,0.484375
19,0.484375
104,0.46875
120,0.453125
5,0.4921875
55,0.5078125
109,0.421875
33,0.5234375
91,0.484375
56,0.5234375
80,0.4921875
16,0.4765625
125,0.4296875
63,0.421875
11,0.5078125
98,0.5234375
63,0.5703125
78,0.484375
30,0.4375
105,0.53125
92,0.5234375
113,0.5546875
31,0.46875
25,0.515625
126,0.4921875
78,0.4765625
74,0.484375
25,0.5234375
48,0.5390625
98,0.4609375
100,0.5234375
13,0.4296875
18,0.4140625
124,0.53125
100,0.5
34,0.4765625
107,0.4921875
118,0.5078125
83,0.5078125
27,0.4609375
82,0.484375
114,0.5625
13,0.46875
101,0.484375
80,0.515625
53,0.3984375
126,0.421875
114,0.46875
98,0.515625
27,0.4765625
24,0.515625
56,0.5390625
41,0.5
55,0.5078125
19,0.5
13,0.3828125
12,0.609375
56,0.453125
80,0.53125
10,0.515625
28,0.5234375
46,0.5234375
75,0.4375
89,0.578125
7,0.4453125
121,0.515625
68,0.546875
18,0.4609375
21,0.4140625
62,0.4765625
69,0.4921875
6,0.4375
42,0.5546875
88,0.4609375
54,0.4609375
20,0.515625
68,0.4453125
110,0.515625
120,0.4609375
77,0.5546875
37,0.546875
46,0.5390625
65,0.5
4,0.53125
79,0.546875
111,0.4375
110,0.546875
110,0.46875
30,0.53125
57,0.5
94,0.4296875
83,0.578125
30,0.5078125
25,0.578125
86,0.46875
73,0.4609375
121,0.46875
108,0.4765625
0,0.4921875
78,0.5
71,0.515625
46,0.375
16,0.4765625
73,0.6015625
82,0.4765625
68,0.4765625
1,0.53125
44,0.546875
123,0.5078125
63,0.5703125
5,0.4296875
117,0.5859375
125,0.5
118,0.46875
21,0.5
31,0.5234375
107,0.5
74,0.46875
67,0.5234375
39,0.578125
89,0.546875
32,0.46875
103,0.46875
67,0.4609375
4,0.5703125
88,0.515625
115,0.4765625
73,0.53125
91,0.515625
93,0.40625
4,0.5859375
54,0.4140625
34,0.46875
40,0.4921875
57,0.5859375
123,0.5078125
118,0.4921875
52,0.515625
52,0.5078125
86,0.5
49,0.5
99,0.59375
37,0.515625
112,0.5234375
108,0.4765625
15,0.4921875
125,0.515625
99,0.4765625
120,0.5078125
74,0.5703125
9,0.4453125
32,0.453125
101,0.515625
57,0.46875
0,0.515625
4,0.4921875
113,0.578125
0,0.5859375
23,0.53125
52,0.53125
85,0.546875
3,0.453125
104,0.484375
99,0.484375
10,0.4765625
45,0.5234375
91,0.484375
119,0.5234375
89,0.4921875
29,0.515625
65,0.4765625
64,0.46875
67,0.484375
17,0.4453125
58,0.4609375
116,0.5078125
47,0.53125
93,0.46875
114,0.4140625
114,0.4140625
81,0.4140625
62,0.4765625
18,0.4921875
28,0.5234375
120,0.4375
8,0.515625
103,0.53125
21,0.4921875
24,0.5546875
42,0.4921875
73,0.5546875
125,0.515625
16,0.59375
105,0.5078125
100,0.4609375
49,0.515625
31,0.453125
17,0.5390625
105,0.5234375
92,0.453125
56,0.5234375
58,0.4453125
59,0.4921875
113,0.5078125
0,0.5078125
30,0.5234375
94,0.484375
27,0.4609375
92,0.4609375
2,0.5390625
65,0.53125
93,0.4609375
78,0.59375
87,0.4375
5,0.515625
26,0.484375
109,0.515625
79,0.515625
11,0.5078125
49,0.4609375
85,0.5625
126,0.4375
87,0.5234375
84,0.5
58,0.4609375
101,0.5703125
14,0.4765625
120,0.546875
116,0.53125
12,0.46875
19,0.484375
112,0.4609375
23,0.5625
85,0.5390625
83,0.46875
51,0.5234375
72,0.453125
74,0.4921875
67,0.5859375
46,0.5390625
83,0.4375
85,0.4765625
17,0.5
98,0.5
96,0.5078125
61,0.5234375
98,0.5625
0,0.5
19,0.5
11,0.484375
21,0.578125
5,0.4921875
4,0.5234375
96,0.4921875
4,0.4375
59,0.5390625
32,0.4609375
34,0.4765625
79,0.4921875
18,0.5625
9,0.4296875
95,0.5625
40,0.546875
67,0.5
48,0.5390625
108,0.59375
124,0.421875
89,0.5546875
22,0.5390625
115,0.5234375
93,0.4765625
7,0.578125
76,0.484375
56,0.453125
102,0.4375
12,0.4453125
28,0.421875
90,0.484375
89,0.4921875
2,0.5078125
89,0.5546875
90,0.5
34,0.46875
108,0.5234375
50,0.5
41,0.5
58,0.5234375
0,0.546875
17,0.484375
47,0.4921875
88,0.484375
105,0.546875
83,0.4296875
